Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,393,0,219,0,393,0
1,393,0,173,0,393,0
2,393,0,214,0,393,0
3,393,0,212,0,393,0
4,308,0,188,0,393,0
5,393,0,198,0,393,0
6,393,0,205,0,393,0
7,393,0,220,0,393,0
8,256,0,149,0,393,0
9,393,0,190,0,393,0
10,393,0,202,0,393,0
11,393,0,203,0,393,0
12,257,0,156,0,393,0
13,393,0,141,0,393,0
14,393,0,183,0,393,0
15,393,0,210,0,393,0
16,255,0,162,0,393,0
17,393,0,197,0,393,0
18,393,0,180,0,393,0
19,393,0,205,0,393,0
20,393,0,199,0,393,0
21,255,0,180,0,393,0
22,393,0,192,0,393,0
23,393,0,189,0,393,0
24,310,0,235,0,393,0
25,393,0,226,0,393,0
26,393,0,231,0,393,0
27,315,0,203,0,393,0
28,311,0,201,0,393,0
29,393,0,203,0,393,0
30,393,0,194,0,393,0
31,329,0,210,0,393,0
32,255,0,201,0,393,0
33,393,0,181,0,393,0
34,393,0,205,0,393,0
35,393,0,195,0,393,0
36,307,0,211,0,393,0
37,393,0,199,0,393,0
38,393,0,194,0,393,0
39,353,0,205,0,393,0
40,393,0,212,0,393,0
41,393,0,226,0,393,0
42,393,0,184,0,393,0
43,393,0,189,0,393,0
44,318,0,208,0,393,0
45,393,0,230,0,393,0
46,393,0,221,0,393,0
47,308,0,178,0,393,0
48,392,0,209,0,393,0
49,393,0,236,0,393,0
50,393,0,221,0,393,0
51,308,0,237,0,393,0
52,316,0,193,0,393,0
53,393,0,230,0,393,0
54,393,0,211,0,393,0
55,393,0,209,0,393,0
56,308,0,206,0,393,0
57,393,0,217,0,393,0
58,393,0,177,0,393,0
59,393,0,199,0,393,0
60,393,0,184,0,393,0
61,393,0,188,0,393,0
62,393,0,225,0,393,0
63,393,0,208,0,393,0
64,309,0,210,0,393,0
65,393,0,253,0,393,0
66,393,0,235,0,393,0
67,308,0,190,0,393,0
68,255,0,208,0,393,0
69,393,0,200,0,393,0
70,393,0,203,0,393,0
71,308,0,197,0,393,0
72,308,0,153,0,393,0
73,393,0,206,0,393,0
74,393,0,186,0,393,0
75,393,0,184,0,393,0
76,255,0,145,0,393,0
77,393,0,184,0,393,0
78,393,0,190,0,393,0
79,393,0,198,0,393,0
80,393,0,211,0,393,0
81,393,0,214,0,393,0
82,393,0,188,0,393,0
83,393,0,222,0,393,0
84,310,0,212,0,393,0
85,393,0,217,0,393,0
86,393,0,212,0,393,0
87,308,0,175,0,393,0
88,255,0,194,0,393,0
89,393,0,190,0,393,0
90,393,0,196,0,393,0
91,393,0,203,0,393,0
92,308,0,206,0,393,0
93,393,0,212,0,393,0
94,393,0,207,0,393,0
95,393,0,167,0,393,0
96,307,0,207,0,393,0
97,393,0,199,0,393,0
98,393,0,197,0,393,0
99,393,0,191,0,393,0
100,393,0,191,0,393,0

