Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,58,255,-25,82,58,255
1,58,255,-77,111,58,255
2,60,255,-17,73,60,255
3,256,258,-31,84,256,258
4,58,260,-37,86,58,260
5,59,257,-22,77,59,257
6,227,254,-14,74,227,254
7,262,261,-97,108,262,261
8,253,253,2,39,253,253
9,252,286,-40,64,252,286
10,254,251,78,-79,254,251
11,251,254,132,-130,251,254
12,251,258,19,-16,251,258
13,251,260,-4,40,251,260
14,250,255,24,6,250,255
15,266,268,10,12,266,268
16,260,252,38,0,260,252
17,256,264,21,24,256,264
18,256,262,-12,44,256,262
19,253,254,30,10,253,254
20,254,58,61,-16,254,58
21,259,254,37,-2,259,254
22,254,256,16,37,254,256
23,231,254,3,38,231,254
24,254,254,66,-47,254,254
25,255,64,77,-47,255,64
26,257,250,80,-40,257,250
27,232,60,55,-6,232,60
28,254,262,55,-34,254,262
29,255,262,44,-5,255,262
30,253,262,37,-5,253,262
31,453,262,48,-18,453,262
32,256,262,43,-19,256,262
33,255,262,61,-32,255,262
34,227,262,46,0,227,262
35,256,262,49,-14,256,262
36,256,262,57,-22,256,262
37,432,262,78,-52,432,262
38,256,262,67,-31,256,262
39,255,263,69,-43,255,263
40,236,251,51,-9,236,251
41,255,252,79,-57,255,252
42,255,252,38,16,255,252
43,254,260,62,-13,254,260
44,255,251,61,-24,255,251
45,232,251,54,-10,232,251
46,253,251,32,14,253,251
47,457,252,68,-35,457,252
48,257,252,73,-52,257,252
49,254,254,39,-12,254,254
50,253,287,21,2,253,287
51,232,253,5,37,232,253
52,440,254,57,-14,440,254
53,229,254,1,45,229,254
54,256,259,18,24,256,259
55,227,258,0,54,227,258
56,253,260,22,18,253,260
57,230,257,9,43,230,257
58,254,257,31,5,254,257
59,233,257,8,36,233,257
60,257,259,4,34,257,259
61,236,258,-11,49,236,258
62,456,254,10,41,456,254
63,254,253,19,18,254,253
64,256,252,74,-41,256,252
65,230,259,26,25,230,259
66,231,254,0,57,231,254
67,234,254,45,-16,234,254
68,231,254,22,8,231,254
69,237,253,-2,40,237,253
70,234,253,28,8,234,253
71,234,254,-21,67,234,254
72,253,254,-1,36,253,254
73,229,253,-21,62,229,253
74,230,253,15,24,230,253
75,230,254,43,10,230,254
76,228,254,-44,86,228,254
77,231,253,-20,62,231,253
78,227,253,-46,77,227,253
79,253,253,19,5,253,253
80,253,253,42,0,253,253
81,255,253,33,8,255,253
82,230,253,-20,70,230,253
83,232,253,21,7,232,253
84,230,253,8,47,230,253
85,232,253,11,40,232,253
86,257,253,9,39,257,253
87,234,253,1,49,234,253
88,233,253,13,35,233,253
89,227,255,12,41,227,255
90,227,253,-29,71,227,253
91,230,253,0,47,230,253
92,229,253,-62,101,229,253
93,230,254,-10,60,230,254
94,232,258,-2,35,232,258
95,234,258,27,15,234,258
96,55,258,-17,85,55,258
97,253,258,-41,81,253,258
98,254,256,27,14,254,256
99,230,258,-10,65,230,258

