Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,230,259,-23,68,230,259
1,257,264,0,46,257,264
2,253,253,20,34,253,253
3,233,253,-5,49,233,253
4,229,259,-28,70,229,259
5,230,258,-19,63,230,258
6,255,258,-29,69,255,258
7,227,258,-17,71,227,258
8,233,259,-12,57,233,259
9,54,258,-75,122,54,258
10,255,262,-30,79,255,262
11,255,258,-39,69,255,258
12,258,257,-14,46,258,257
13,231,258,31,6,231,258
14,227,260,-79,113,227,260
15,231,253,12,29,231,253
16,230,258,-37,72,230,258
17,254,258,-29,83,254,258
18,58,258,-22,75,58,258
19,229,258,-19,65,229,258
20,227,258,-36,85,227,258
21,227,258,-97,119,227,258
22,230,258,0,41,230,258
23,231,258,-36,65,231,258
24,229,258,-17,60,229,258
25,231,253,-38,76,231,253
26,231,254,-3,43,231,254
27,230,254,7,43,230,254
28,229,254,-32,67,229,254
29,227,254,-12,58,227,254
30,52,254,-67,105,52,254
31,57,255,-31,90,57,255
32,233,255,-38,78,233,255
33,231,254,4,35,231,254
34,254,255,-33,76,254,255
35,227,254,-28,75,227,254
36,230,259,-15,46,230,259
37,229,259,-10,49,229,259
38,58,253,-7,72,58,253
39,28,254,-34,85,28,254
40,229,254,-11,55,229,254
41,232,258,-31,71,232,258
42,230,257,-42,65,230,257
43,233,255,-4,47,233,255
44,230,259,-18,57,230,259
45,233,258,15,8,233,258
46,230,259,16,24,230,259
47,229,260,-46,93,229,260
48,231,259,-1,32,231,259
49,232,258,5,29,232,258
50,232,258,-22,64,232,258
51,57,260,-53,97,57,260
52,228,262,5,35,228,262
53,27,255,-30,82,27,255
54,230,256,-20,55,230,256
55,258,256,-25,71,258,256
56,259,257,-38,81,259,257
57,25,255,-46,99,25,255
58,227,255,-4,54,227,255
59,28,256,-64,108,28,256
60,228,255,-32,79,228,255
61,56,256,-69,106,56,256
62,24,253,-88,120,24,253
63,230,256,-42,67,230,256
64,228,261,-11,47,228,261
65,229,258,-22,76,229,258
66,230,253,-5,46,230,253
67,228,252,12,44,228,252
68,229,253,-23,58,229,253
69,233,253,16,22,233,253
70,231,252,23,20,231,252
71,33,252,-9,64,33,252
72,29,256,-36,86,29,256
73,232,258,-13,66,232,258
74,251,253,-43,85,251,253
75,256,253,14,22,256,253
76,253,261,-21,61,253,261
77,251,252,19,45,251,252
78,231,254,-18,65,231,254
79,253,254,47,4,253,254
80,251,253,44,10,251,253
81,255,257,35,32,255,257
82,254,255,30,24,254,255
83,227,255,-26,76,227,255
84,233,252,-12,55,233,252
85,227,252,-15,62,227,252
86,253,257,12,14,253,257
87,227,258,2,37,227,258
88,228,251,34,14,228,251
89,231,251,36,-1,231,251
90,432,251,76,-44,432,251
91,256,251,45,2,256,251
92,230,256,9,21,230,256
93,227,253,-17,57,227,253
94,254,253,-38,61,254,253
95,254,253,-24,58,254,253
96,233,253,-24,60,233,253
97,256,253,0,34,256,253
98,258,253,-44,78,258,253
99,254,253,-26,73,254,253
100,254,253,-26,73,254,253

